iter	Passed	Remaining
415	2744	3852
416	2751	3846
417	2757	3839
418	2764	3832
419	2770	3825
420	2775	3817
421	2781	3810
422	2788	3803
423	2794	3796
424	2801	3790
425	2807	3782
426	2812	3774
427	2819	3768
428	2825	3760
429	2831	3752
430	2837	3745
431	2842	3737
432	2848	3729
433	2854	3722
434	2860	3714
435	2866	3707
436	2872	3700
437	2878	3694
438	2885	3686
439	2891	3679
440	2897	3672
441	2903	3666
442	2909	3658
443	2915	3651
444	2921	3643
445	2926	3635
446	2933	3628
447	2938	3620
448	2948	3618
449	2964	3622
450	2970	3615
451	2975	3607
452	2981	3600
453	2987	3592
454	2993	3585
455	2999	3577
456	3004	3570
457	3010	3562
458	3016	3555
459	3022	3548
460	3028	3540
461	3034	3533
462	3039	3525
463	3045	3517
464	3050	3509
465	3055	3501
466	3062	3494
467	3068	3488
468	3074	3480
469	3080	3474
470	3086	3466
471	3091	3458
472	3097	3451
473	3103	3443
474	3109	3436
475	3115	3429
476	3121	3422
477	3128	3416
478	3134	3409
479	3140	3402
480	3146	3395
481	3152	3387
482	3158	3380
483	3163	3372
484	3168	3364
485	3174	3357
486	3181	3351
487	3187	3343
488	3193	3337
489	3201	3332
490	3211	3329
491	3217	3321
492	3223	3314
493	3229	3307
494	3234	3300
495	3240	3293
496	3246	3285
497	3251	3277
498	3256	3269
499	3263	3263
500	3268	3255
501	3275	3248
502	3281	3241
503	3288	3235
504	3293	3228
505	3299	3221
506	3305	3214
507	3311	3207
508	3317	3200
509	3323	3193
510	3329	3185
511	3334	3178
512	3340	3171
513	3346	3164
514	3352	3157
515	3358	3150
516	3364	3143
517	3371	3137
518	3376	3129
519	3382	3122
520	3389	3116
521	3395	3109
522	3400	3101
523	3406	3094
524	3412	3087
525	3417	3080
526	3424	3073
527	3429	3065
528	3435	3058
529	3440	3051
530	3462	3058
531	3469	3052
532	3475	3045
533	3481	3037
534	3487	3031
535	3493	3024
536	3498	3016
537	3504	3009
538	3511	3002
539	3516	2995
540	3522	2988
541	3527	2981
542	3534	2974
543	3540	2968
544	3546	2960
545	3553	2954
546	3559	2947
547	3566	2941
548	3572	2934
549	3577	2927
550	3584	2920
551	3590	2913
552	3595	2906
553	3602	2900
554	3607	2892
555	3614	2886
556	3620	2879
557	3626	2872
558	3632	2866
559	3639	2859
560	3645	2852
561	3651	2846
562	3657	2839
563	3663	2831
564	3669	2824
565	3674	2817
566	3681	2811
567	3686	2804
568	3692	2796
569	3698	2790
570	3704	2783
571	3710	2776
572	3725	2775
573	3731	2769
574	3737	2762
575	3742	2754
576	3749	2748
577	3755	2741
578	3761	2735
579	3767	2728
580	3773	2721
581	3779	2714
582	3785	2707
583	3790	2700
584	3797	2693
585	3803	2687
586	3810	2680
587	3816	2674
588	3822	2667
589	3827	2660
590	3834	2653
591	3840	2646
592	3846	2640
593	3852	2633
594	3858	2626
595	3863	2619
596	3869	2612
597	3875	2605
598	3882	2598
599	3887	2591
600	3894	2585
601	3900	2579
