iter	MultiClass
115	0.2330556673
116	0.2300429668
117	0.2273627838
118	0.2250326287
119	0.2233617124
120	0.2211099789
121	0.2197944088
122	0.21836886
123	0.2156081656
124	0.2136490645
125	0.211523715
126	0.2079152982
127	0.206173446
128	0.2050283468
129	0.20391776
130	0.2013756045
131	0.1999700678
132	0.196094284
133	0.1946942031
134	0.1935612288
135	0.1910039699
136	0.1899664934
137	0.1873998049
138	0.1860753453
139	0.1830677037
140	0.181622872
141	0.1796590086
142	0.1777663017
143	0.1763580878
144	0.1749354454
145	0.1733237149
146	0.1718968767
147	0.1701561376
148	0.1691305475
149	0.1678848783
150	0.1670749103
151	0.1656495413
152	0.1645898451
153	0.1629600406
154	0.1622152433
155	0.1610019442
156	0.1599003064
157	0.1586711418
158	0.1572899436
159	0.1563439969
160	0.1549872304
161	0.1542677376
162	0.1522005234
163	0.1507753879
164	0.1498475268
165	0.1490408003
166	0.1482928623
167	0.1473701297
168	0.1465042383
169	0.1457206325
170	0.1447897663
171	0.1433139999
172	0.1423451784
173	0.141478951
174	0.1401858864
175	0.1391288535
176	0.1380962797
177	0.1367033557
178	0.1361781965
179	0.1349790348
180	0.1339670185
181	0.1331400449
182	0.1321157397
183	0.1318204837
184	0.1307412015
185	0.1297682264
186	0.1289223565
187	0.1278735811
188	0.1270544517
189	0.1264722492
190	0.1259167085
191	0.1254869984
192	0.1252079894
193	0.124234301
194	0.1237221998
195	0.1230082861
196	0.1220786038
197	0.1210940323
198	0.1202312665
199	0.1191557427
200	0.117959857
201	0.117229028
202	0.1168211689
203	0.1160748736
204	0.1152255716
205	0.1147256807
206	0.1137544691
207	0.1129214068
208	0.1118883436
209	0.1112813782
210	0.1107432393
211	0.109932159
212	0.1095161514
213	0.1086986309
214	0.1083278721
215	0.1078866032
216	0.1074130798
217	0.1070309934
218	0.1064361935
219	0.1059303647
220	0.1054240403
221	0.1049024888
222	0.1040857877
223	0.1033632776
224	0.1030126058
225	0.102638
226	0.1019443284
227	0.1014647843
228	0.101003373
229	0.1004283475
230	0.09983308369
231	0.09917468475
232	0.09886436564
233	0.09844139498
234	0.0980331642
235	0.09734802812
236	0.09667641105
237	0.0962190778
238	0.09603987598
239	0.0956466917
240	0.09526355165
241	0.09494031978
242	0.09460557678
243	0.09412390006
244	0.0938275553
245	0.09349777384
246	0.09303674223
247	0.09266944027
248	0.09200450425
249	0.09173473888
250	0.09110952713
251	0.0908301541
252	0.09017774789
253	0.08986025271
254	0.08925522999
255	0.08904613038
256	0.08859286706
257	0.08832462709
258	0.08811265591
259	0.08727644957
260	0.08679431004
261	0.0864618134
262	0.08624882547
263	0.08601003772
264	0.08569590494
265	0.08547536896
266	0.08504109195
267	0.08471713651
268	0.08423567135
269	0.0839793449
270	0.08353627034
271	0.08302440895
272	0.08217947476
273	0.08184172596
274	0.08162844347
275	0.08123586521
276	0.08106661871
277	0.08058719176
278	0.08024915562
279	0.0799147047
280	0.07965367209
281	0.07940977873
282	0.07920253821
283	0.07878690993
284	0.07845477968
285	0.07788457389
286	0.07757999174
287	0.07718653112
288	0.0768006691
289	0.07655365606
290	0.07632287039
291	0.07604850473
292	0.07577523729
293	0.07542530649
294	0.0751892812
295	0.07492464174
296	0.07458964677
297	0.07421860845
298	0.07405995916
299	0.07380947552
300	0.07365525412
301	0.07336849852
302	0.07306083978
303	0.07278314633
304	0.07258544343
305	0.07241871986
306	0.07227186599
307	0.0721010237
308	0.07182190409
309	0.07157828182
310	0.07131693859
311	0.07119039422
312	0.07070408295
313	0.07059906597
314	0.07032308738
315	0.07016750551
316	0.06987917424
317	0.06973909577
318	0.06935052487
319	0.06916664174
320	0.06893707706
321	0.06889409548
322	0.06864299911
323	0.06848155177
324	0.06825545467
325	0.06791903825
326	0.06770955895
327	0.06744441661
328	0.06717291019
329	0.06696678095
330	0.06679331929
331	0.06657910436
332	0.06622777054
333	0.06605433796
334	0.0657303468
335	0.06543393586
336	0.06520363081
337	0.06502082057
338	0.06482583779
339	0.06469450704
340	0.06441062459
341	0.06387513668
342	0.06371242475
343	0.06353392027
344	0.06321333392
345	0.06298858681
346	0.06274414388
347	0.0626228196
348	0.06231477521
349	0.06183435419
350	0.06167593741
351	0.06163674388
352	0.06142527912
353	0.06129103966
354	0.06075243328
355	0.06044716958
356	0.06011571334
357	0.05994538732
358	0.05966931947
359	0.05945609791
360	0.05929793336
361	0.05898766691
362	0.05877312274
363	0.05855919903
364	0.05840904781
365	0.05827419089
366	0.05804216968
367	0.057743836
368	0.05761429022
369	0.05745604466
370	0.0572565346
371	0.05704661894
372	0.05667300855
373	0.05634972406
374	0.05618011348
375	0.05600499049
376	0.05589235489
377	0.05560387
378	0.05549374128
379	0.05532548332
380	0.05521285266
381	0.055021325
382	0.05476390117
383	0.05443377465
384	0.05432428756
385	0.05411547422
386	0.05399108858
387	0.05392481392
388	0.05384688093
389	0.0536387235
390	0.05346415637
391	0.05329303834
392	0.05317851098
393	0.05305961133
394	0.05295195507
395	0.05283749552
396	0.05276422089
397	0.05262865542
398	0.05242359138
399	0.05218544227
400	0.05209623041
401	0.05199439109
402	0.05186126581
403	0.05172466666
404	0.05164113546
405	0.05143466063
406	0.05129078963
407	0.05120156091
408	0.05090645824
409	0.05079933164
410	0.05064250362
411	0.05048699849
412	0.05038281587
413	0.05029911474
414	0.05019734922
415	0.05005366942
416	0.04991525725
417	0.04980685198
418	0.04967281585
419	0.04948528332
420	0.04915782594
421	0.04897117198
422	0.04876393567
423	0.04856656266
424	0.04846467815
425	0.04843130017
426	0.04825843368
427	0.04812403347
428	0.04803075701
429	0.04789977445
430	0.04783499014
431	0.0477523764
432	0.0476298616
433	0.04755658798
434	0.04742996691
435	0.04727954633
436	0.04719971705
437	0.04702128963
438	0.04691605323
439	0.04668096686
440	0.04653339145
441	0.04637657333
442	0.04626171156
443	0.04610793044
444	0.0459411777
445	0.04586718535
446	0.04575510334
447	0.04566105892
448	0.04555965434
449	0.04545022545
450	0.0453183628
451	0.0452216728
452	0.04511987281
453	0.04507116434
454	0.0449636709
455	0.04482463674
456	0.04454732679
457	0.0444436806
458	0.04436026154
459	0.04427902606
460	0.04420627981
461	0.04405562294
462	0.04389197242
463	0.04375844627
464	0.04368077171
465	0.0436020431
466	0.04349111494
467	0.04332527657
468	0.04317121879
469	0.04309254215
470	0.04295566016
471	0.04288679813
472	0.04277910419
473	0.04271417485
474	0.04260830206
475	0.04249051023
476	0.04240801487
477	0.04232156545
478	0.04222855325
479	0.0420394527
480	0.04190371467
481	0.04180830548
482	0.04170063567
483	0.04163525018
484	0.04154171393
485	0.04143074793
486	0.04136897463
487	0.0412498628
488	0.0411005288
489	0.04101685341
490	0.04095870227
491	0.04080259457
492	0.04075189676
493	0.040705407
494	0.04060363744
495	0.04048818953
496	0.04027489709
497	0.04020301255
498	0.040098542
499	0.03999250684
500	0.03988059888
501	0.03975982731
502	0.03965016773
503	0.03952532483
504	0.03946097042
505	0.03935893698
506	0.03925958076
507	0.03919356385
508	0.03912492648
509	0.03902237422
510	0.03891090648
511	0.03882864278
512	0.0387467788
513	0.03863179078
514	0.03858330959
515	0.03846108354
516	0.03839813939
517	0.03827323573
518	0.03821285892
519	0.03812190635
520	0.03800725343
521	0.03787813
522	0.03784205998
523	0.03769810429
524	0.0375570941
525	0.03746349493
526	0.0373770196
527	0.03722042486
528	0.03711262874
529	0.03701011242
530	0.03698279768
531	0.03693627637
532	0.03689343505
533	0.03681753835
534	0.03675454558
535	0.03669394436
536	0.03665068642
537	0.03657271615
538	0.03651220127
539	0.03644481651
540	0.03636477682
541	0.03629477616
542	0.03622329444
543	0.03618846385
544	0.03609670103
545	0.03598617796
546	0.03593533086
547	0.0358832407
548	0.03577132404
549	0.03569176829
550	0.03564726008
551	0.03561445043
552	0.03552074607
553	0.03548051732
554	0.03537874838
555	0.03532728799
556	0.03526068256
557	0.0351461571
558	0.03500363443
559	0.03496238401
560	0.0349050684
561	0.03482671213
562	0.03476913185
563	0.03470073362
564	0.03466927178
565	0.03446703735
566	0.03441587406
567	0.03427824724
568	0.03424431669
569	0.03421557731
570	0.03414538614
571	0.03408347518
572	0.03401869901
573	0.0339853598
574	0.03382229236
575	0.03375348779
576	0.03369591981
577	0.0336301384
578	0.03355150216
579	0.03351524671
580	0.03345799204
581	0.03339734169
582	0.03335485551
583	0.03321455836
584	0.03316373783
585	0.03310232397
586	0.03304875062
587	0.03297093467
588	0.03290721496
589	0.03284009774
590	0.03280295603
591	0.03271361579
592	0.03267210638
593	0.03262416592
594	0.03257174007
595	0.03249586014
596	0.03231014091
597	0.03225920961
598	0.03222143056
599	0.03212599662
600	0.03208479736
601	0.03201034336
602	0.03194250837
603	0.03191001867
604	0.03186858746
605	0.03176694764
606	0.03169705313
607	0.03165071171
608	0.03156376856
609	0.03152671632
610	0.03149510298
611	0.03141990611
612	0.0313735037
613	0.03129595433
614	0.03124353996
615	0.03119231484
616	0.03111849819
617	0.03108078975
618	0.03101164409
619	0.03095729986
620	0.0308842465
621	0.03082116222
622	0.0307058738
623	0.03066272665
624	0.0306141763
625	0.03052075674
626	0.0304907096
627	0.03040665957
628	0.03035348337
629	0.03026843586
630	0.03018743891
631	0.03013612534
632	0.02999635499
633	0.02993871228
634	0.02990405003
635	0.02984769478
636	0.02979567847
637	0.02972816485
638	0.02970306532
639	0.02964403163
640	0.02960828818
641	0.02957126369
642	0.02950975791
643	0.02946299827
644	0.02941866016
645	0.02932188353
646	0.02927395163
647	0.02923027978
648	0.02913649287
649	0.0290656053
650	0.02901213728
651	0.02892995644
652	0.0288669022
653	0.02880167008
654	0.0287245564
655	0.02865611399
656	0.02860227829
657	0.02854836021
658	0.02842221911
659	0.0283631592
660	0.02830457718
661	0.02825283068
662	0.02814166242
663	0.02798968829
664	0.02795709898
665	0.02789859532
666	0.027852288
667	0.02780737666
668	0.0277622956
669	0.02769971475
670	0.02759478807
671	0.0275498171
672	0.02752399731
673	0.02745919711
674	0.02742278182
675	0.02737747697
676	0.02734808378
677	0.02729288591
678	0.0272289241
679	0.02718684862
680	0.02714120088
681	0.02710805538
682	0.02707715794
683	0.02704627683
684	0.02701176498
685	0.02695994603
686	0.02685068326
687	0.02678185048
688	0.02676814115
689	0.02672575851
690	0.026652001
691	0.02660113457
692	0.02656400064
693	0.02652102022
694	0.02645859272
695	0.02638245993
696	0.02634030723
697	0.02627247331
698	0.02623402469
699	0.0261784601
700	0.02614956081
701	0.02610597632
702	0.02607492796
703	0.02602208561
704	0.02598908683
705	0.02593125431
706	0.02589175117
707	0.02577381432
708	0.02573472784
709	0.02569744926
710	0.02565906257
711	0.02560896557
712	0.02558242919
713	0.02556343797
714	0.0255100869
715	0.02542713638
716	0.02541763112
717	0.02536762368
718	0.02534524643
719	0.02527565827
720	0.02522964799
721	0.02519823961
722	0.02511762035
723	0.02509680809
724	0.02506629072
725	0.02500361623
726	0.02495616839
727	0.02490024453
728	0.02484760205
729	0.02481869639
730	0.02479028324
731	0.02476414879
732	0.02468747616
733	0.0246388362
734	0.02458472069
735	0.02452434752
736	0.02446462213
737	0.02444778949
738	0.02439096015
739	0.02435912066
740	0.02431728507
741	0.02426309508
742	0.0241293102
743	0.02408671197
744	0.02404701997
745	0.02401645422
746	0.02396051421
747	0.02391505333
748	0.02387562883
749	0.02382363651
750	0.02377507566
751	0.02374960557
752	0.02369615552
753	0.02366624542
754	0.02360706167
755	0.02358849868
756	0.02355379508
757	0.0235117838
758	0.02347164107
759	0.02343197023
760	0.02340299164
761	0.02338085183
762	0.02334662141
763	0.02330662257
764	0.02326525513
765	0.0232143277
766	0.0231909361
767	0.02314409968
768	0.02308913307
769	0.02304778408
770	0.02299646183
771	0.02295506698
772	0.02292112504
773	0.02288668619
774	0.02285112365
775	0.02283071788
776	0.0227350484
777	0.02268544741
778	0.02262130611
779	0.02260038667
780	0.0225506153
781	0.02252296582
782	0.02247352556
783	0.02243193586
784	0.02239630888
785	0.02236841078
786	0.0223507617
787	0.02231799258
788	0.022285111
789	0.02225561728
790	0.02223459291
791	0.02219625962
792	0.02217069416
793	0.02212612941
794	0.02210591162
795	0.02207105166
796	0.02205248234
797	0.02203445945
798	0.0220071165
799	0.02197612876
800	0.02193193589
801	0.02190063462
802	0.02189176292
803	0.02186927052
804	0.0218535722
805	0.02183021017
806	0.0217614654
807	0.02172402437
808	0.02169311925
809	0.02167068619
810	0.02158963461
811	0.02156967794
812	0.02152299542
813	0.02148819698
814	0.02145772518
815	0.02141653585
816	0.02138329007
817	0.02128884727
818	0.0212646873
819	0.02125551732
820	0.02123144153
821	0.02120998127
822	0.02116384278
823	0.02114049794
824	0.02110496632
825	0.02108926281
826	0.02105316308
827	0.02100717054
828	0.02096022384
829	0.02094344397
830	0.02090787783
831	0.02089143177
832	0.02084755972
833	0.02080809104
834	0.02076871612
835	0.02074103249
836	0.02071476764
837	0.02065509121
838	0.02062779541
839	0.02059706211
840	0.02057349212
841	0.02055047745
842	0.02054240177
843	0.0205151592
844	0.02050017684
845	0.02048066773
846	0.02044885935
847	0.02043046932
848	0.02040906719
849	0.02038054819
850	0.02034454658
851	0.02031031053
852	0.02028072513
853	0.02025930304
854	0.02023990501
855	0.02022048136
856	0.02019586549
857	0.02017314978
858	0.02012623735
859	0.02011663932
860	0.02010102207
861	0.02008291464
862	0.02006450246
863	0.02003843257
864	0.02001380783
865	0.01998226711
866	0.0199605602
867	0.01993651498
868	0.01990193341
869	0.0198741587
870	0.01985214792
871	0.01983225434
872	0.01981577189
873	0.01976855696
874	0.01974482242
875	0.01973212286
876	0.0197171355
877	0.01967925385
878	0.01965282129
879	0.01961831838
880	0.01957565836
881	0.01954677695
882	0.01952017817
883	0.01949693515
884	0.01946878972
885	0.01944109492
886	0.0194228224
887	0.01940517021
888	0.01939223356
889	0.01935992121
890	0.01931561312
891	0.01928491188
892	0.01926503127
893	0.01924680557
894	0.01922350816
895	0.01919325662
896	0.01917666558
897	0.01914818155
898	0.01912864926
899	0.01909703538
900	0.01907823671
901	0.01904534434
902	0.01901558555
903	0.01899000435
904	0.01891471768
905	0.01889300101
906	0.01888001325
907	0.01885615045
908	0.0188302715
909	0.0188098725
910	0.01878662216
911	0.0187599478
912	0.01874262209
913	0.01873234364
914	0.01871202895
915	0.01868791685
916	0.01864859021
917	0.0186340778
918	0.01859084312
919	0.01857638608
920	0.018534418
921	0.01851287084
922	0.01849680781
923	0.01847959104
924	0.01845681528
925	0.0184249215
926	0.01840885307
927	0.01838304768
928	0.01836524739
929	0.01835602121
930	0.01834249223
931	0.01831298394
932	0.01829107338
933	0.01826599431
934	0.01823685403
935	0.01817708052
936	0.01815776703
937	0.01813247045
938	0.01812202789
939	0.01809208569
940	0.01807829911
941	0.01806298088
942	0.01800375377
943	0.01796470874
944	0.01792154575
945	0.01790545783
946	0.01788176093
947	0.01784769318
948	0.01783232171
949	0.01781130187
950	0.01780381827
951	0.01778963206
952	0.01777326867
953	0.0177496586
954	0.01772189551
955	0.01770318236
956	0.01768167814
957	0.01766198879
958	0.01764174728
959	0.01762139587
960	0.01758955274
961	0.01758115598
962	0.01756260181
963	0.01754570682
964	0.01753673174
965	0.01752219934
966	0.0175089548
967	0.01745003606
968	0.01742503956
969	0.01741846679
970	0.01738803104
971	0.01736733982
972	0.01735908107
973	0.01733428615
974	0.0173180677
975	0.01729224596
976	0.01727633561
977	0.01726341712
978	0.01724998306
979	0.01722598567
980	0.01719887309
981	0.0171762721
982	0.01715526105
983	0.01714634679
984	0.01712470498
985	0.01711792798
986	0.01709726878
987	0.01709082189
988	0.01705785953
989	0.01703851639
990	0.01702187633
991	0.01700679155
992	0.01698665532
993	0.01696589488
994	0.01694650128
995	0.01692286005
996	0.01691130092
997	0.01689780254
998	0.01688557296
999	0.0168677936
